artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Artist_2,Song_4,186183,False,1995,38,0.716,0.742,8,-55.648,1,0.003,0.524,0.034,0.326,0.931,91.425,Reggae
Artist_5,Song_78,157007,False,2020,25,0.156,0.053,1,-37.636,1,0.737,0.555,0.609,0.152,0.813,89.125,Jazz
Artist_15,Song_10,353982,True,2001,65,0.574,0.157,11,-58.272,0,0.542,0.622,0.726,0.579,0.368,169.628,R&B
Artist_3,Song_6,198475,True,1999,72,0.657,0.489,1,-24.387,0,0.444,0.66,0.062,0.849,0.042,177.021,Folk
Artist_9,Song_59,168539,False,1996,61,0.443,0.654,6,-40.422,1,0.072,0.899,0.13,0.759,0.119,79.713,Folk
Artist_10,Song_21,348283,True,1990,72,0.086,0.344,1,-57.85,1,0.483,0.488,0.919,0.838,0.726,87.554,Country
Artist_16,Song_97,283423,True,1997,85,0.761,0.074,0,-59.198,0,0.127,0.127,0.251,0.193,0.355,64.284,Pop
Artist_8,Song_95,214415,True,2009,84,0.802,0.819,3,-27.5,1,0.946,0.498,0.145,0.046,0.24,111.879,Hip Hop
Artist_4,Song_35,257922,False,2000,23,0.793,0.723,7,-58.273,1,0.177,0.559,0.795,0.284,0.155,127.726,Rock
Artist_7,Song_78,244481,True,1993,20,0.181,0.606,10,-49.528,0,0.34,0.704,0.476,0.097,0.278,191.228,Pop
Artist_12,Song_10,335282,False,2015,58,0.681,0.081,0,-48.381,0,0.426,0.759,0.468,0.866,0.595,138.203,Classical
Artist_13,Song_50,248853,False,2022,24,0.595,0.119,7,-6.378,1,0.845,0.649,0.578,0.739,0.684,178.821,Pop
Artist_10,Song_46,308372,False,2011,5,0.75,0.254,1,-3.355,1,0.839,0.17,0.739,0.774,0.447,189.675,Pop
Artist_2,Song_38,262292,False,1992,38,0.59,0.804,10,-6.041,0,0.369,0.282,0.171,0.623,0.86,188.068,Folk
Artist_17,Song_44,243394,True,2007,41,0.35,0.281,9,-18.166,1,0.733,0.316,0.895,0.399,0.892,92.462,Jazz
Artist_13,Song_56,338866,False,2016,58,0.095,0.866,2,-46.538,1,0.744,0.767,0.409,0.039,0.918,158.744,Folk
Artist_12,Song_55,353301,False,2009,57,0.855,0.133,10,-8.054,0,0.284,0.99,0.864,0.498,0.824,83.529,Hip Hop
Artist_17,Song_94,267272,False,1999,78,0.849,0.824,9,-17.347,1,0.758,0.153,0.674,0.49,0.566,171.351,Jazz
Artist_14,Song_39,136912,False,2005,58,0.057,0.491,0,-53.211,1,0.264,0.144,0.129,0.36,0.312,118.858,Country
Artist_19,Song_26,274445,True,2006,68,0.347,0.179,1,-40.729,1,0.628,0.508,0.627,0.997,0.365,167.997,Reggae
Artist_10,Song_75,242135,False,2001,72,0.514,0.54,11,-15.501,1,0.472,0.971,0.856,0.212,0.475,193.626,Folk
Artist_10,Song_92,252169,False,1994,53,0.255,0.427,4,-47.398,0,0.359,0.335,0.42,0.203,0.375,128.318,Folk
Artist_16,Song_95,154809,True,2000,62,0.401,0.273,6,-38.143,1,0.625,0.758,0.154,0.279,0.707,188.928,Folk
Artist_18,Song_54,198477,False,2009,40,0.984,0.784,1,-59.126,0,0.988,0.193,0.121,0.676,0.08,96.092,Folk
Artist_1,Song_79,148996,False,1997,65,0.459,0.152,7,-46.533,0,0.596,0.129,0.165,0.41,0.437,100.871,Rock
Artist_20,Song_88,324042,True,2009,77,0.477,0.688,4,-51.78,1,0.319,0.984,0.622,0.892,0.267,111.616,Rock
Artist_5,Song_32,130903,True,1996,81,0.392,0.701,10,-31.239,1,0.267,0.329,0.248,0.527,0.031,134.843,Jazz
Artist_5,Song_33,148670,True,2004,20,0.834,0.152,11,-9.458,0,0.59,0.207,0.662,0.569,0.671,97.156,Rock
Artist_8,Song_65,192046,True,2003,85,0.282,0.972,8,-4.848,0,0.954,0.703,0.194,0.717,0.643,190.526,Folk
Artist_14,Song_86,258954,True,2006,61,0.412,0.741,5,-57.82,0,0.968,0.18,0.773,0.106,0.8,101.531,Reggae
Artist_11,Song_35,127783,False,2015,25,0.032,0.159,7,-21.849,0,0.154,0.992,0.533,0.695,0.872,100.516,Jazz
Artist_18,Song_49,218771,True,2002,44,0.24,0.719,1,-47.013,0,0.413,0.387,0.954,0.571,0.774,73.24,Electronic
Artist_11,Song_21,347423,True,1991,28,0.307,0.922,10,-45.187,1,0.051,0.932,0.097,0.434,0.15,95.781,Country
Artist_15,Song_100,181256,True,2022,72,0.023,0.401,8,-5.402,1,0.689,0.933,0.722,0.768,0.418,84.508,Jazz
Artist_14,Song_35,256364,True,1997,6,0.301,0.192,9,-43.185,0,0.112,0.865,0.084,0.951,0.36,170.702,Reggae
Artist_2,Song_45,260731,True,2016,46,0.326,0.324,5,-45.826,1,0.816,0.831,0.586,0.3,0.293,149.128,Reggae
