artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Artist_9,Song_93,281986,True,2010,16,0.789,0.044,4,-17.647,1,0.524,0.835,0.488,0.882,0.062,73.453,Jazz
Artist_11,Song_22,159557,True,1994,51,0.854,0.539,8,-28.419,1,0.925,0.054,0.689,0.531,0.979,65.608,Folk
Artist_19,Song_35,176576,False,2004,82,0.339,0.414,9,-54.489,1,0.834,0.469,0.066,0.088,0.347,103.626,Rock
Artist_10,Song_28,216841,True,2006,53,0.935,0.047,9,-12.288,1,0.739,0.524,0.538,0.817,0.175,135.753,Classical
Artist_20,Song_5,234825,True,2013,9,0.071,0.672,4,-29.826,1,0.76,0.43,0.762,0.045,0.049,154.145,Pop
Artist_20,Song_89,193090,False,2002,62,0.058,0.569,5,-35.223,1,0.371,0.574,0.962,0.156,0.602,124.834,Country
Artist_13,Song_41,296488,True,1990,90,0.084,0.468,10,-25.805,0,0.964,0.421,0.127,0.105,0.25,122.756,Folk
Artist_7,Song_97,304407,False,1997,9,0.301,0.361,4,-40.096,1,0.139,0.309,0.925,0.434,0.009,83.145,Hip Hop
Artist_9,Song_86,333024,False,2018,86,0.843,0.957,0,-13.08,1,0.515,0.321,0.482,0.696,0.137,121.571,R&B
Artist_5,Song_16,307887,False,2012,66,0.141,0.118,11,-45.807,0,0.724,0.854,0.389,0.373,0.462,123.61,R&B
Artist_1,Song_68,133005,True,2013,3,0.805,0.785,1,-47.546,1,0.39,0.015,0.469,0.717,0.259,153.174,Pop
Artist_8,Song_43,345368,True,1996,82,0.463,0.877,10,-50.59,0,0.949,0.538,0.798,0.005,0.391,120.949,Pop
Artist_19,Song_25,344181,True,1996,31,0.885,0.869,8,-14.8,1,0.782,0.938,0.149,0.001,0.649,189.417,Country
Artist_16,Song_7,168320,False,2017,61,0.462,0.549,1,-35.78,0,0.68,0.922,0.445,0.585,0.771,142.843,Pop
Artist_7,Song_80,153177,False,1998,38,0.53,0.085,3,-9.766,0,0.282,0.592,0.691,0.597,0.709,69.605,Jazz
Artist_7,Song_50,340051,True,2003,15,0.298,0.623,8,-3.214,0,0.653,0.797,0.104,0.499,0.515,162.227,Pop
Artist_2,Song_21,285464,False,2004,100,0.879,0.991,8,-37.617,1,0.781,0.853,0.589,0.092,0.032,170.234,R&B
Artist_17,Song_20,207308,True,1996,89,0.511,0.56,3,-25.493,1,0.028,0.867,0.314,0.607,0.245,136.389,Rock
Artist_16,Song_72,291910,False,2022,40,0.11,0.567,1,-31.738,0,0.835,0.338,0.835,0.197,0.012,133.376,Classical
Artist_17,Song_10,194175,True,1999,11,0.291,0.268,9,-43.189,0,0.779,0.288,0.896,0.736,0.774,160.962,Rock
Artist_1,Song_96,193853,False,2005,16,0.249,0.607,0,-23.09,1,0.464,0.469,0.837,0.856,0.508,157.616,Electronic
